seriesID,data__year,data__period,data__periodName,data__latest,data__value,data__date,State,Area,Industry
,2020,M04,April,,1114530,"April, 2020",,,
,2020,M03,March,,1284366,"March, 2020",,,
,2020,M02,February,,1339944,"February, 2020",,,
,2020,M01,January,,1327935,"January, 2020",,,
,2019,M12,December,,1331069,"December, 2019",,,
,2019,M11,November,,1334663,"November, 2019",,,
,2019,M10,October,,1342356,"October, 2019",,,
,2019,M09,September,,1331553,"September, 2019",,,
,2019,M08,August,,1322508,"August, 2019",,,
,2019,M07,July,,1330748,"July, 2019",,,
,2019,M06,June,,1327213,"June, 2019",,,
,2019,M05,May,,1312919,"May, 2019",,,
,2019,M04,April,,1310733,"April, 2019",,,
,2019,M03,March,,1313844,"March, 2019",,,
,2019,M02,February,,1305546,"February, 2019",,,
,2019,M01,January,,1292751,"January, 2019",,,
,2018,M12,December,,1293925,"December, 2018",,,
,2018,M11,November,,1296166,"November, 2018",,,
,2018,M10,October,,1303813,"October, 2018",,,
,2018,M09,September,,1293788,"September, 2018",,,
,2018,M08,August,,1277468,"August, 2018",,,
,2018,M07,July,,1293870,"July, 2018",,,
,2018,M06,June,,1288769,"June, 2018",,,
,2018,M05,May,,1282389,"May, 2018",,,
,2018,M04,April,,1275816,"April, 2018",,,
,2018,M03,March,,1275531,"March, 2018",,,
,2018,M02,February,,1265307,"February, 2018",,,
,2018,M01,January,,1252233,"January, 2018",,,
LAUMT451790000000005,2021,M03,March,TRUE,386579,"March, 2021",South Carolina,"Columbia, SC",General
,2021,M02,February,,384096,"February, 2021",,,
,2021,M01,January,,374381,"January, 2021",,,
,2020,M12,December,,376883,"December, 2020",,,
,2020,M11,November,,378892,"November, 2020",,,
,2020,M10,October,,395193,"October, 2020",,,
,2020,M09,September,,390516,"September, 2020",,,
,2020,M08,August,,389185,"August, 2020",,,
,2020,M07,July,,388726,"July, 2020",,,
,2020,M06,June,,381945,"June, 2020",,,
,2020,M05,May,,364018,"May, 2020",,,
,2020,M04,April,,364494,"April, 2020",,,
,2020,M03,March,,387648,"March, 2020",,,
,2020,M02,February,,391521,"February, 2020",,,
