seriesID,data__year,data__period,data__periodName,data__value,data__footnotes__code,data__footnotes__text,data__date,State,Area,Industry
SMU37167403000000001,2021,M04,April,103.2,P,Preliminary,"April, 2021",North Carolina,"Charlotte-Concord-Gastonia, NC-SC",Manufacturing
,2021,M03,March,103.7,,,"March, 2021",,,
,2021,M02,February,103.0,,,"February, 2021",,,
,2021,M01,January,102.5,,,"January, 2021",,,
,2020,M12,December,103.8,,,"December, 2020",,,
,2020,M11,November,102.6,,,"November, 2020",,,
,2020,M10,October,102.8,,,"October, 2020",,,
,2020,M09,September,102.2,,,"September, 2020",,,
,2020,M08,August,101.7,,,"August, 2020",,,
,2020,M07,July,101.1,,,"July, 2020",,,
,2020,M06,June,101.5,,,"June, 2020",,,
,2020,M05,May,97.1,,,"May, 2020",,,
,2020,M04,April,96.0,,,"April, 2020",,,
,2020,M03,March,108.6,,,"March, 2020",,,
,2020,M02,February,108.9,,,"February, 2020",,,
,2020,M01,January,108.6,,,"January, 2020",,,
,2019,M12,December,109.8,,,"December, 2019",,,
,2019,M11,November,109.8,,,"November, 2019",,,
,2019,M10,October,110.7,,,"October, 2019",,,
,2019,M09,September,111.0,,,"September, 2019",,,
,2019,M08,August,111.6,,,"August, 2019",,,
,2019,M07,July,112.0,,,"July, 2019",,,
,2019,M06,June,111.1,,,"June, 2019",,,
,2019,M05,May,110.7,,,"May, 2019",,,
,2019,M04,April,110.7,,,"April, 2019",,,
,2019,M03,March,111.0,,,"March, 2019",,,
,2019,M02,February,111.0,,,"February, 2019",,,
,2019,M01,January,110.7,,,"January, 2019",,,
,2018,M12,December,110.6,,,"December, 2018",,,
,2018,M11,November,110.2,,,"November, 2018",,,
,2018,M10,October,110.1,,,"October, 2018",,,
,2018,M09,September,110.5,,,"September, 2018",,,
,2018,M08,August,110.7,,,"August, 2018",,,
,2018,M07,July,110.9,,,"July, 2018",,,
,2018,M06,June,110.6,,,"June, 2018",,,
,2018,M05,May,109.4,,,"May, 2018",,,
,2018,M04,April,108.9,,,"April, 2018",,,
,2018,M03,March,108.4,,,"March, 2018",,,
,2018,M02,February,107.7,,,"February, 2018",,,
,2018,M01,January,106.9,,,"January, 2018",,,
SMU45179003000000001,2021,M04,April,31.3,P,Preliminary,"April, 2021",South Carolina,"Columbia, SC",Manufacturing
,2021,M03,March,31.3,,,"March, 2021",,,
,2021,M02,February,31.2,,,"February, 2021",,,
,2021,M01,January,31.1,,,"January, 2021",,,
,2020,M12,December,31.2,,,"December, 2020",,,
,2020,M11,November,31.0,,,"November, 2020",,,
,2020,M10,October,30.9,,,"October, 2020",,,
,2020,M09,September,30.8,,,"September, 2020",,,
,2020,M08,August,31.0,,,"August, 2020",,,
,2020,M07,July,31.0,,,"July, 2020",,,
,2020,M06,June,30.9,,,"June, 2020",,,
,2020,M05,May,30.0,,,"May, 2020",,,
,2020,M04,April,29.5,,,"April, 2020",,,
,2020,M03,March,31.6,,,"March, 2020",,,
,2020,M02,February,31.8,,,"February, 2020",,,
,2020,M01,January,31.7,,,"January, 2020",,,
,2019,M12,December,32.0,,,"December, 2019",,,
,2019,M11,November,32.0,,,"November, 2019",,,
,2019,M10,October,31.9,,,"October, 2019",,,
,2019,M09,September,32.0,,,"September, 2019",,,
,2019,M08,August,32.2,,,"August, 2019",,,
,2019,M07,July,32.4,,,"July, 2019",,,
,2019,M06,June,32.2,,,"June, 2019",,,
,2019,M05,May,32.0,,,"May, 2019",,,
,2019,M04,April,31.7,,,"April, 2019",,,
,2019,M03,March,30.9,,,"March, 2019",,,
,2019,M02,February,30.9,,,"February, 2019",,,
,2019,M01,January,30.7,,,"January, 2019",,,
,2018,M12,December,30.7,,,"December, 2018",,,
,2018,M11,November,30.4,,,"November, 2018",,,
,2018,M10,October,30.5,,,"October, 2018",,,
,2018,M09,September,30.4,,,"September, 2018",,,
,2018,M08,August,30.4,,,"August, 2018",,,
,2018,M07,July,30.5,,,"July, 2018",,,
,2018,M06,June,30.3,,,"June, 2018",,,
,2018,M05,May,29.9,,,"May, 2018",,,
,2018,M04,April,29.7,,,"April, 2018",,,
,2018,M03,March,29.8,,,"March, 2018",,,
,2018,M02,February,29.7,,,"February, 2018",,,
,2018,M01,January,29.4,,,"January, 2018",,,
SMU45248603000000001,2021,M04,April,55.3,P,Preliminary,"April, 2021",South Carolina,"Greenville-Anderson-Mauldin, SC",Manufacturing
,2021,M03,March,56.4,,,"March, 2021",,,
,2021,M02,February,56.2,,,"February, 2021",,,
,2021,M01,January,55.6,,,"January, 2021",,,
,2020,M12,December,56.9,,,"December, 2020",,,
,2020,M11,November,56.2,,,"November, 2020",,,
,2020,M10,October,55.5,,,"October, 2020",,,
,2020,M09,September,54.9,,,"September, 2020",,,
,2020,M08,August,54.8,,,"August, 2020",,,
,2020,M07,July,54.0,,,"July, 2020",,,
,2020,M06,June,53.9,,,"June, 2020",,,
,2020,M05,May,49.8,,,"May, 2020",,,
,2020,M04,April,50.0,,,"April, 2020",,,
,2020,M03,March,57.0,,,"March, 2020",,,
,2020,M02,February,57.0,,,"February, 2020",,,
,2020,M01,January,56.8,,,"January, 2020",,,
,2019,M12,December,57.7,,,"December, 2019",,,
,2019,M11,November,57.3,,,"November, 2019",,,
,2019,M10,October,57.3,,,"October, 2019",,,
,2019,M09,September,57.2,,,"September, 2019",,,
,2019,M08,August,57.5,,,"August, 2019",,,
,2019,M07,July,57.6,,,"July, 2019",,,
,2019,M06,June,58.0,,,"June, 2019",,,
,2019,M05,May,57.9,,,"May, 2019",,,
,2019,M04,April,58.3,,,"April, 2019",,,
,2019,M03,March,58.1,,,"March, 2019",,,
,2019,M02,February,58.1,,,"February, 2019",,,
,2019,M01,January,58.2,,,"January, 2019",,,
,2018,M12,December,58.8,,,"December, 2018",,,
,2018,M11,November,58.6,,,"November, 2018",,,
,2018,M10,October,58.6,,,"October, 2018",,,
,2018,M09,September,58.5,,,"September, 2018",,,
,2018,M08,August,58.7,,,"August, 2018",,,
,2018,M07,July,58.7,,,"July, 2018",,,
,2018,M06,June,58.9,,,"June, 2018",,,
,2018,M05,May,58.4,,,"May, 2018",,,
,2018,M04,April,58.3,,,"April, 2018",,,
,2018,M03,March,58.0,,,"March, 2018",,,
,2018,M02,February,58.1,,,"February, 2018",,,
,2018,M01,January,57.9,,,"January, 2018",,,
SMU45439003000000001,2021,M04,April,37.1,P,Preliminary,"April, 2021",South Carolina,"Spartanburg, SC",Manufacturing
,2021,M03,March,37.4,,,"March, 2021",,,
,2021,M02,February,36.4,,,"February, 2021",,,
,2021,M01,January,36.6,,,"January, 2021",,,
,2020,M12,December,36.2,,,"December, 2020",,,
,2020,M11,November,36.0,,,"November, 2020",,,
,2020,M10,October,35.9,,,"October, 2020",,,
,2020,M09,September,35.7,,,"September, 2020",,,
,2020,M08,August,35.7,,,"August, 2020",,,
